# spot,16.4500,ts,2026-06-30 23:06:47
strike,dte,cp,oi,gamma,delta,iv,bid,ask
45.00,50,C,123668,0.017100,0.1083,1.5071,0.41,0.45
45.00,50,P,210,0.017100,-0.8857,1.5798,26.25,26.35
47.50,50,C,87146,0.015700,0.0990,1.5561,0.37,0.41
50.00,50,C,157642,0.014400,0.0908,1.6040,0.35,0.38
50.00,50,P,2,0.014400,-0.9032,1.6547,31.15,31.25
55.00,50,C,139933,0.012300,0.0774,1.6624,0.28,0.32
60.00,50,C,63265,0.010700,0.0668,1.7117,0.24,0.28
60.00,50,P,17,0.010700,-0.9272,1.7845,41.00,41.10
65.00,50,C,295398,0.009400,0.0583,1.7374,0.23,0.24
65.00,50,P,50,0.009400,-0.9357,1.8257,45.90,46.00
70.00,50,C,38855,0.008300,0.0514,1.7661,0.18,0.22
70.00,50,P,2,0.008300,-0.9426,1.8822,50.85,50.95
75.00,50,C,55806,0.007400,0.0456,1.7802,0.16,0.20
80.00,50,C,51937,0.006600,0.0408,1.7879,0.14,0.18
80.00,50,P,66,0.006600,-0.9532,1.8154,60.75,60.85
85.00,50,C,90909,0.006000,0.0366,1.8249,0.13,0.16
90.00,50,C,37323,0.005400,0.0331,1.9299,0.12,0.15
90.00,50,P,1,0.005400,-0.9609,2.0308,70.65,70.80
95.00,50,C,48169,0.004900,0.0301,1.9507,0.10,0.14
100.00,50,C,28096,0.004500,0.0274,1.9533,0.09,0.13
100.00,50,P,73,0.004500,-0.9666,1.8197,80.60,80.70
110.00,50,C,894,0.003800,0.0231,2.0274,0.08,0.11
110.00,50,P,3,0.003800,-0.9710,2.1252,90.50,90.60
120.00,50,C,8551,0.003300,0.0197,2.0919,0.06,0.09
120.00,50,P,1,0.003300,-0.9744,2.1729,100.40,100.55
130.00,50,C,3453,0.002800,0.0169,2.1484,0.05,0.08
130.00,50,P,402,0.002800,-0.9771,1.9531,110.35,110.45
140.00,50,C,6439,0.002500,0.0147,2.0928,0.05,0.08
140.00,50,P,390,0.002500,-0.9793,2.2351,120.25,120.40
150.00,50,C,28296,0.002200,0.0129,2.2415,0.03,0.07
150.00,50,P,14,0.002200,-0.9811,2.3212,130.20,130.30
160.00,50,C,1146,0.001900,0.0114,2.1815,0.04,0.06
170.00,50,C,21687,0.001700,0.0101,2.2070,0.02,0.05
180.00,50,C,7701,0.001600,0.0091,2.3410,0.03,0.05
190.00,50,C,5579,0.001400,0.0081,2.4043,0.00,0.04
200.00,50,C,7217,0.001300,0.0074,2.3099,0.02,0.04
200.00,50,P,51,0.001300,-0.9867,0.0000,179.70,180.15
10.00,78,C,167,0.001700,0.9878,0.6563,9.50,9.75
10.00,78,P,235,0.001700,-0.0028,0.6121,0.00,0.02
10.50,78,C,240,0.002100,0.9872,0.5887,9.00,9.25
10.50,78,P,2,0.002100,-0.0034,0.5716,0.00,0.02
11.00,78,C,304,0.002800,0.9862,0.5190,8.50,8.75
11.00,78,P,22,0.002800,-0.0045,0.7115,0.00,0.03
11.50,78,C,17,0.004000,0.9841,0.4386,8.00,8.25
11.50,78,P,16,0.004000,-0.0065,0.6641,0.00,0.03
12.00,78,C,116,0.006100,0.9804,0.0000,7.50,7.75
12.00,78,P,303,0.006100,-0.0102,0.6268,0.00,0.03
12.50,78,C,43,0.009000,0.9746,0.0000,7.05,7.25
12.50,78,P,99,0.009000,-0.0161,0.5899,0.00,0.04
13.00,78,C,717,0.012800,0.9664,0.0000,6.60,6.75
13.00,78,P,2985,0.012800,-0.0243,0.4706,0.01,0.05
13.50,78,C,274,0.017400,0.9556,0.0000,6.15,6.25
13.50,78,P,165,0.017400,-0.0350,0.5233,0.03,0.05
14.00,78,C,804,0.022800,0.9422,0.3872,5.70,5.80
14.00,78,P,3911,0.022800,-0.0485,0.4235,0.06,0.10
14.50,78,C,451,0.029000,0.9260,0.4916,5.25,5.35
14.50,78,P,5529,0.029000,-0.0647,0.5075,0.12,0.15
15.00,78,C,942,0.036500,0.9011,0.4641,4.85,4.95
15.00,78,P,30186,0.036500,-0.0895,0.5111,0.21,0.25
16.00,78,C,6717,0.049700,0.8200,0.5734,4.15,4.25
16.00,78,P,39372,0.049700,-0.1707,0.5600,0.49,0.53
17.00,78,C,1922,0.057400,0.7447,0.5469,3.60,3.70
17.00,78,P,109113,0.057400,-0.2459,0.5889,0.93,0.97
18.00,78,C,4073,0.060000,0.6709,0.6066,3.15,3.25
18.00,78,P,29326,0.060000,-0.3197,0.6229,1.47,1.52
19.00,78,C,940,0.059600,0.6056,0.6794,2.81,2.87
19.00,78,P,81234,0.059600,-0.3850,0.7045,2.10,2.14
20.00,78,C,22267,0.057900,0.5491,0.7675,2.51,2.57
20.00,78,P,92792,0.057900,-0.4416,0.7539,2.79,2.84
21.00,78,C,6837,0.055500,0.5002,0.7635,2.26,2.32
21.00,78,P,8585,0.055500,-0.4905,0.7539,3.50,3.60
22.00,78,C,58355,0.052800,0.4578,0.8152,2.05,2.11
22.00,78,P,41523,0.052800,-0.5328,0.8571,4.30,4.40
23.00,78,C,47213,0.050100,0.4210,0.8504,1.88,1.93
